"Source:","/Users/yaoyitong/Documents/Pollyyaooo-Polly_514_Final/schematics/Sensing device/Sensing device.kicad_sch"
"Date:","2026-02-02T01:49:35-0800"
"Tool:","Eeschema 9.0.5"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","7"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","10uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"C2, C3","2","0.1uF","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor","",""
"J2","1","Grove_GSR","Conn_01x04_Pin","Connector_JST:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","Generic connector, single row, 01x04, script generated","",""
"R1","1","220Ω","R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor","",""
"SW1","1","SW_Push","SW_Push","Button_Switch_SMD:SW_Push_1P1T_NO_E-Switch_TL3301NxxxxxG","Push button switch, generic, two pins","",""
"U1","1","XIAO ESP32C3","XIAO_ESP32","GIX_ESP32:XIAO_ESP32","","",""
